Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Afghanistan,AFG,South Asia,Low income,2001,56.308,47.8,730,0,0,10.80900002,0,0,2179727.1,9689193.7,5795426.38
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,47.059,67.5,15960,4.48351622,0,4.004000187,0,0,1392080.71,11190210.53,2663516.34
Albania,ALB,Europe & Central Asia,Upper middle income,2001,74.288,4.9,3230,7.13952398,3.458699942,18.57500076,0,40.52089533,117081.67,140894.78,532324.75
Andorra,AND,Europe & Central Asia,High income,2001,0,0,520,5.86593914,0,0,0,21.78866006,1697.99,695.56,13636.64
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,74.544,2.8,97200,2.48437047,0,2.493000031,0,0,144678.14,65271.91,481740.7
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,73.755,3,125260,8.37179756,4.833740234,17.31999969,0,48.05399554,1397676.07,1507068.98,8070909.52
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,71.8,26.1,3600,4.64562702,2.469439983,10.9119997,0,46.35189576,103371.75,122238.13,767916.19
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,0,0,0,0,0,0,0,0,1683.98,2933.98,10752.13
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,74.171,0,350,5.43587589,0,0,0,0,2201.12,3279.72,14289.69
Australia,AUS,East Asia & Pacific,High income,2001,79.63414634,2.5,345640,7.69622898,0,6.739999771,0,58.78889399,612233.81,208282.73,4158052.86
Austria,AUT,Europe & Central Asia,High income,2001,78.57560976,2.5,67910,9.26942921,5.575479984,4.010000229,0,99.67939917,240208.86,77701.17,2101883.59
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,67.054,17,26400,2.75590682,3.503420115,10.90999985,0,19.59669997,235307.74,904186.52,1816141.16
Burundi,BDI,Sub-Saharan Africa,Low income,2001,49.93,0,200,6.40484381,2.903909922,1.587000012,0,0,1285727.05,5085323.13,1088354.56
